created,value
2020-12-01T00:04:05.000Z,9.2
2020-12-01T00:19:05.000Z,9.2
2020-12-01T00:34:05.000Z,9.1
2020-12-01T00:49:05.000Z,9.1
2020-12-01T01:04:05.000Z,9.0
2020-12-01T01:19:05.000Z,9.0
2020-12-01T01:34:05.000Z,8.9
2020-12-01T01:49:05.000Z,8.9
2020-12-01T02:04:05.000Z,8.8
2020-12-01T02:19:05.000Z,8.7
2020-12-01T02:34:05.000Z,8.7
2020-12-01T02:49:05.000Z,8.6
2020-12-01T03:04:05.000Z,8.6
2020-12-01T03:19:05.000Z,8.5
2020-12-01T03:34:05.000Z,8.4
2020-12-01T03:49:05.000Z,8.4
2020-12-01T04:04:05.000Z,8.3
2020-12-01T04:19:05.000Z,8.3
2020-12-01T04:34:05.000Z,8.3
2020-12-01T04:49:05.000Z,8.2
2020-12-01T05:04:05.000Z,8.2
2020-12-01T05:19:05.000Z,8.2
2020-12-01T05:34:05.000Z,8.1
2020-12-01T05:49:05.000Z,8.1
2020-12-01T06:04:05.000Z,8.1
2020-12-01T06:19:05.000Z,8.1
2020-12-01T06:34:05.000Z,8.1
2020-12-01T06:49:05.000Z,8.1
2020-12-01T07:04:05.000Z,8.0
2020-12-01T07:19:05.000Z,8.0
2020-12-01T07:34:05.000Z,8.0
2020-12-01T07:49:05.000Z,8.0
2020-12-01T08:04:05.000Z,8.0
2020-12-01T08:19:05.000Z,8.0
2020-12-01T08:34:05.000Z,8.0
2020-12-01T08:49:05.000Z,8.1
2020-12-01T09:04:05.000Z,8.1
2020-12-01T09:19:05.000Z,8.1
2020-12-01T09:34:13.000Z,8.1
2020-12-01T09:49:06.000Z,8.2
2020-12-01T10:04:05.000Z,8.2
2020-12-01T10:19:05.000Z,8.2
2020-12-01T10:34:05.000Z,8.3
2020-12-01T10:49:05.000Z,8.3
2020-12-01T11:04:05.000Z,8.4
2020-12-01T11:19:05.000Z,8.4
2020-12-01T11:34:05.000Z,8.5
2020-12-01T11:49:05.000Z,8.5
2020-12-01T12:04:05.000Z,8.6
2020-12-01T12:19:05.000Z,8.6
2020-12-01T12:34:05.000Z,8.7
2020-12-01T12:49:05.000Z,8.7
2020-12-01T13:04:05.000Z,8.8
2020-12-01T13:19:05.000Z,8.9
2020-12-01T13:34:05.000Z,8.9
2020-12-01T13:49:05.000Z,9.0
2020-12-01T14:04:05.000Z,9.1
2020-12-01T14:19:05.000Z,9.1
2020-12-01T14:34:05.000Z,9.2
2020-12-01T14:49:05.000Z,9.2
2020-12-01T15:04:05.000Z,9.3
2020-12-01T15:19:05.000Z,9.3
2020-12-01T15:34:05.000Z,9.4
2020-12-01T15:49:05.000Z,9.4
2020-12-01T16:04:05.000Z,9.4
2020-12-01T16:19:05.000Z,9.4
2020-12-01T16:34:05.000Z,9.4
2020-12-01T16:49:05.000Z,9.4
2020-12-01T17:04:05.000Z,9.5
2020-12-01T17:19:05.000Z,9.5
2020-12-01T17:34:05.000Z,9.5
2020-12-01T17:49:05.000Z,9.5
2020-12-01T18:04:05.000Z,9.5
2020-12-01T18:19:05.000Z,9.5
2020-12-01T18:34:05.000Z,9.5
2020-12-01T18:49:05.000Z,9.5
2020-12-01T19:04:05.000Z,9.5
2020-12-01T19:19:05.000Z,9.5
2020-12-01T19:34:05.000Z,9.5
2020-12-01T19:49:05.000Z,9.5
2020-12-01T20:04:05.000Z,9.5
2020-12-01T20:19:05.000Z,9.5
2020-12-01T20:34:05.000Z,9.5
2020-12-01T20:49:05.000Z,9.5
2020-12-01T21:04:05.000Z,9.5
2020-12-01T21:19:05.000Z,9.5
2020-12-01T21:34:05.000Z,9.5
2020-12-01T21:49:05.000Z,9.5
2020-12-01T22:04:05.000Z,9.5
2020-12-01T22:19:05.000Z,9.5
2020-12-01T22:34:05.000Z,9.4
2020-12-01T22:49:05.000Z,9.5
2020-12-01T23:04:05.000Z,9.4
2020-12-01T23:19:05.000Z,9.4
2020-12-01T23:34:05.000Z,9.4
2020-12-01T23:49:05.000Z,9.4
2020-12-02T00:04:05.000Z,9.4
2020-12-02T00:19:05.000Z,9.4
2020-12-02T00:34:05.000Z,9.4
2020-12-02T00:49:05.000Z,9.4
2020-12-02T01:04:05.000Z,9.4
2020-12-02T01:19:05.000Z,9.5
2020-12-02T01:34:05.000Z,9.5
2020-12-02T01:49:05.000Z,9.5
2020-12-02T02:04:05.000Z,9.5
2020-12-02T02:19:05.000Z,9.5
2020-12-02T02:34:05.000Z,9.5
2020-12-02T02:49:05.000Z,9.5
2020-12-02T03:04:05.000Z,9.5
2020-12-02T03:19:05.000Z,9.5
2020-12-02T03:34:05.000Z,9.5
2020-12-02T03:49:05.000Z,9.4
2020-12-02T04:04:05.000Z,9.4
2020-12-02T04:19:05.000Z,9.4
2020-12-02T04:34:05.000Z,9.4
2020-12-02T04:49:05.000Z,9.4
2020-12-02T05:04:05.000Z,9.4
2020-12-02T05:19:05.000Z,9.4
2020-12-02T05:34:05.000Z,9.4
2020-12-02T05:49:05.000Z,9.4
2020-12-02T06:04:05.000Z,9.4
2020-12-02T06:19:05.000Z,9.4
2020-12-02T06:34:05.000Z,9.3
2020-12-02T06:49:05.000Z,9.3
2020-12-02T07:04:05.000Z,9.3
2020-12-02T07:19:05.000Z,9.3
2020-12-02T07:34:05.000Z,9.2
2020-12-02T07:49:05.000Z,9.2
2020-12-02T08:04:05.000Z,9.2
2020-12-02T08:19:05.000Z,9.2
2020-12-02T08:34:05.000Z,9.2
2020-12-02T08:49:05.000Z,9.2
2020-12-02T09:04:05.000Z,9.2
2020-12-02T09:19:05.000Z,9.2
2020-12-02T09:34:13.000Z,9.2
2020-12-02T09:49:06.000Z,9.2
2020-12-02T10:04:05.000Z,9.2
2020-12-02T10:19:05.000Z,9.3
2020-12-02T10:34:05.000Z,9.3
2020-12-02T10:49:05.000Z,9.3
2020-12-02T11:04:05.000Z,9.4
2020-12-02T11:19:05.000Z,9.4
2020-12-02T11:34:05.000Z,9.4
2020-12-02T11:49:05.000Z,9.5
2020-12-02T12:04:05.000Z,9.5
2020-12-02T12:19:05.000Z,9.5
2020-12-02T12:34:05.000Z,9.6
2020-12-02T12:49:05.000Z,9.6
2020-12-02T13:04:05.000Z,9.6
2020-12-02T13:19:05.000Z,9.6
2020-12-02T13:34:05.000Z,9.7
2020-12-02T13:49:05.000Z,9.7
2020-12-02T14:04:05.000Z,9.7
2020-12-02T14:19:05.000Z,9.7
2020-12-02T14:34:05.000Z,9.7
2020-12-02T14:49:05.000Z,9.7
2020-12-02T15:04:05.000Z,9.7
2020-12-02T15:19:05.000Z,9.7
2020-12-02T15:34:05.000Z,9.7
2020-12-02T15:49:05.000Z,9.7
2020-12-02T16:04:05.000Z,9.6
2020-12-02T16:19:05.000Z,9.6
2020-12-02T16:34:05.000Z,9.6
2020-12-02T16:49:05.000Z,9.6
2020-12-02T17:04:05.000Z,9.6
